movie_id,rank,title,year,rating,runtime,votes
tt10350922,274.,Laxmii,(2020),2.5,141 min,"58,338"
tt7958736,275.,Ma,(I) (2019),5.6,99 min,"58,255"
tt6217306,276.,Apostle,(2018),6.3,130 min,"57,608"
tt4463894,277.,Shaft,(2019),6.4,111 min,"57,535"
tt5834262,278.,Hotel Artemis,(2018),6.1,94 min,"57,072"
tt10682266,279.,Hubie Halloween,(2020),5.2,103 min,"57,062"
tt10514222,280.,Ma Rainey's Black Bottom,(2020),6.9,94 min,"56,812"
tt6820256,281.,Arctic,(2018),6.8,98 min,"56,777"
tt5968394,282.,Captive State,(2019),6.0,109 min,"56,663"
tt5246700,283.,How It Ends,(2018),5.0,113 min,"56,619"
tt0983946,284.,Fantasy Island,(2020),4.9,109 min,"56,527"
tt6791096,285.,I Feel Pretty,(2018),5.6,110 min,"56,430"
tt3201640,286.,Extinction,(2018),5.8,95 min,"56,231"
tt4913966,287.,The Curse of La Llorona,(2019),5.2,93 min,"56,179"
tt8239946,288.,Tumbbad,(2018),8.2,104 min,"56,145"
tt7668842,289.,Enes Batur Hayal mi Gerçek mi?,(2018),2.0,110 min,"55,840"
tt7825208,290.,Marighella,(2019),7.1,155 min,"55,819"
tt1838556,291.,Honest Thief,(2020),6.0,99 min,"55,768"
tt8663516,292.,Child's Play,(2019),5.7,90 min,"55,408"
tt4595882,293.,Can You Ever Forgive Me?,(2018),7.1,106 min,"55,198"
tt5814534,294.,Spies in Disguise,(2019),6.8,102 min,"54,762"
tt5697572,295.,Cats,(2019),2.8,110 min,"54,651"
tt11161474,296.,Pieces of a Woman,(2020),7.0,126 min,"54,604"
tt2119543,297.,The House with a Clock in Its Walls,(2018),6.1,105 min,"54,426"
tt7347846,298.,The Lodge,(2019),6.0,108 min,"54,323"
tt9777644,299.,Da 5 Bloods,(2020),6.5,154 min,"54,317"
tt7504726,300.,The Call of the Wild,(2020),6.7,100 min,"54,316"
tt5073642,301.,Color Out of Space,(2019),6.2,111 min,"54,226"
tt2328900,302.,Mary Queen of Scots,(2018),6.3,124 min,"54,004"
tt5865326,303.,The Laundromat,(I) (2019),6.3,96 min,"53,941"
tt7549996,304.,Judy,(II) (2019),6.8,118 min,"53,900"
tt0800325,305.,The Dirt,(2019),7.0,107 min,"53,811"
tt5116302,306.,Togo,(2019),7.9,113 min,"53,655"
tt10431500,307.,Miracle in Cell No. 7,(2019),8.2,132 min,"53,595"
tt6491178,308.,Dragged Across Concrete,(2018),6.9,158 min,"53,291"
tt5783956,309.,When We First Met,(2018),6.4,97 min,"52,898"
tt5431890,310.,Official Secrets,(2019),7.3,112 min,"52,739"
tt1086064,311.,Bill & Ted Face the Music,(2020),5.9,91 min,"51,907"
tt9426210,312.,Tenki no ko,(2019),7.5,112 min,"51,724"
tt7125860,313.,If Beale Street Could Talk,(2018),7.1,119 min,"51,640"
tt8544498,314.,The Way Back,(I) (2020),6.7,108 min,"51,412"
tt1289403,315.,The Guernsey Literary and Potato Peel Pie Society,(2018),7.3,124 min,"50,884"
tt2850386,316.,The Croods: A New Age,(2020),6.9,95 min,"50,637"
tt5177088,317.,The Girl in the Spider's Web,(2018),6.1,115 min,"50,566"
tt7734218,318.,Stuber,(2019),6.2,93 min,"50,503"
tt7315484,319.,The Silence,(II) (2019),5.3,90 min,"49,508"
tt5932728,320.,The Professor and the Madman,(2019),7.2,124 min,"49,464"
tt7153766,321.,Unsane,(2018),6.4,98 min,"49,082"
tt7139936,322.,A Rainy Day in New York,(2019),6.5,92 min,"49,001"
tt5691670,323.,Under the Silver Lake,(2018),6.5,139 min,"48,855"
