movie_id,titleType,originalTitle,isAdult,genres
tt4532826,movie,Robin Hood,0,"Action,Adventure,Drama"
tt10633456,movie,Minari,0,Drama
tt8350360,movie,Annabelle Comes Home,0,"Horror,Mystery,Thriller"
tt2990140,movie,The Christmas Chronicles,0,"Adventure,Comedy,Family"
tt1137450,movie,Death Wish,0,"Action,Crime,Drama"
tt4003440,movie,The House That Jack Built,0,"Crime,Drama,Horror"
tt10618286,movie,Mank,0,"Biography,Comedy,Drama"
tt8155288,movie,Happy Death Day 2U,0,"Comedy,Horror,Mystery"
tt5220122,movie,Hotel Transylvania 3: Summer Vacation,0,"Adventure,Animation,Comedy"
tt1226837,movie,Beautiful Boy,0,"Biography,Drama"
tt5033998,movie,Charlie's Angels,0,"Action,Adventure,Comedy"
tt4332232,movie,Fractured,0,"Mystery,Thriller"
tt6679794,movie,Outlaw King,0,"Action,Biography,Drama"
tt2452244,movie,Isn't It Romantic,0,"Comedy,Fantasy,Musical"
tt2709692,movie,The Grinch,0,"Adventure,Animation,Comedy"
tt5719748,movie,Cold Pursuit,0,"Action,Comedy,Crime"
tt8633478,movie,Run,0,"Mystery,Thriller"
tt8359848,movie,Climax,0,"Drama,Horror,Music"
tt6850820,movie,Peppermint,0,"Action,Crime,Drama"
tt4477536,movie,Fifty Shades Freed,0,"Drama,Romance,Thriller"
tt4971344,movie,Les frères Sisters,0,"Crime,Drama,Western"
tt3513498,movie,The Lego Movie 2: The Second Part,0,"Adventure,Animation,Comedy"
tt4916630,movie,Just Mercy,0,"Biography,Crime,Drama"
tt10059518,movie,Unhinged,0,"Action,Thriller"
tt6133466,movie,The First Purge,0,"Action,Horror,Sci-Fi"
tt8688634,movie,21 Bridges,0,"Action,Thriller"
tt9866072,movie,Holidate,0,"Comedy,Romance"
tt1846589,movie,Hunter Killer,0,"Action,Thriller"
tt8637428,movie,The Farewell,0,"Comedy,Drama"
tt4244998,movie,Alpha,0,"Action,Adventure,Drama"
tt5461944,movie,Hotel Mumbai,0,"Action,Drama,History"
tt2388771,movie,Mowgli,0,"Adventure,Drama,Fantasy"
tt6673612,movie,Dolittle,0,"Adventure,Comedy,Family"
tt7282468,movie,Beoning,0,"Drama,Mystery"
tt7638348,movie,Boss Level,0,"Mystery,Sci-Fi,Thriller"
